id,question,answer,wrong_answers,difficulty,subject
212,"The moons, Miranda, Ariel, Umbriel, Titania and Oberon orbit which planet?",Uranus,"['Jupiter', 'Venus', 'Neptune']",2,Science & Nature
213,"The humerus, paired radius, and ulna come together to form what joint?",Elbow,"['Knee', 'Sholder', 'Ankle']",2,Science & Nature
214,What was the first living creature in space?,Fruit Flies ,"['Monkey', 'Dog', 'Mouse']",2,Science & Nature
215,Gannymede is the largest moon of which planet?,Jupiter,"['Uranus', 'Neptune', 'Mars']",2,Science & Nature
216,"To the nearest minute, how long does it take for light to travel from the Sun to the Earth?",8 Minutes,"['6 Minutes', '2 Minutes', '12 Minutes']",2,Science & Nature
217,Which element has the atomic number of 7?,Nitrogen,"['Oxygen', 'Hydrogen', 'Neon']",2,Science & Nature
218,Au on the Periodic Table refers to which element?,Gold,"['Silver', 'Oxygen', 'Nickel']",2,Science & Nature
219,All the following metal elements are liquids at or near room temperature EXCEPT:,Beryllium,"['Gallium', 'Caesium', 'Mercury']",2,Science & Nature
220,How many officially recognized dwarf planets in the solar system are named after Polynesian deities?,2,"['0', '1', '5']",2,Science & Nature
221,The &quot;Tibia&quot; is found in which part of the body?,Leg,"['Arm', 'Hand', 'Head']",2,Science & Nature
222,What is the chemical formula for ammonia?,NH3,"['CO2', 'NO3', 'CH4']",2,Science & Nature
223,Where did the dog breed &quot;Chihuahua&quot; originate?,Mexico,"['France', 'Spain', 'Russia']",2,Science & Nature
224,"What polymer is used to make CDs, safety goggles and riot shields?",Polycarbonate,"['Rubber', 'Nylon', 'Bakelite']",2,Science & Nature
225,The medical condition osteoporosis affects which part of the body?,Bones,"['Skin', 'Brain', 'Heart']",2,Science & Nature
226,What is the atomic number of the element Strontium?,38,"['73', '47', '11']",2,Science & Nature
227,Which of these is NOT a part of the structure of a typical neuron?,Islets of Langerhans,"['Node of Ranvier', 'Schwann cell', 'Myelin sheath']",2,Science & Nature
228,What term is best associated with Sigmund Freud?,Psychoanalysis,"['Cognitive-Behavioral Therapy', 'Theory of Gravity', 'Dialectical Behavior Therapy']",2,Science & Nature
229,Which of these is a type of stretch/deep tendon reflex?,Ankle jerk reflex,"['Gag reflex', 'Pupillary light reflex', 'Scratch reflex']",2,Science & Nature
230,What does the yellow diamond on the NFPA 704 fire diamond represent?,Reactivity,"['Health', 'Flammability', 'Radioactivity']",2,Science & Nature
231,Which of these elements on the Periodic Table is a Noble Gas?,Neon,"['Potassium', 'Iodine', 'Colbalt']",2,Science & Nature
232,Deuterium is an isotope of which element?,Hydrogen,"['Nitrogen', 'Helium', 'Neon']",2,Science & Nature
233,Who made the discovery of X-rays?,Wilhelm Conrad R&ouml;ntgen,"['Thomas Alva Edison', 'James Watt', 'Albert Einstein']",2,Science & Nature
234,What is radiation measured in?,Gray ,"['Watt', 'Decibel', 'Kelvin']",2,Science & Nature
235,What is the unit of electrical capacitance?,Farad,"['Gauss', 'Henry', 'Watt']",2,Science & Nature
236,Which desert is the only desert in the world where the &quot;Saguaro&quot; cactus grows indigenously?,The Sonoran Desert,"['The Gobi Desert', 'The Yuma Desert', 'The Arabian Desert']",2,Science & Nature
237,"In Psychology, which need appears highest in the &quot;Maslow&#039;s hierarchy of needs&quot; pyramid?",Esteem,"['Love', 'Safety', 'Physiological']",2,Science & Nature
238,What are human nails made of?,Keratin,"['Bone', 'Chitin', 'Calcium']",2,Science & Nature
239,What is the largest living organism currently known to man?,Honey Fungus,"['Blue Whale', 'Redwood Tree', 'The Coral Reef']",2,Science & Nature
240,"Which planet did the &quot;Viking 1&quot; spacecraft send surface images of, starting in 1976?",Mars,"['Saturn', 'Jupiter', 'Venus']",2,Science & Nature
241,What is considered the rarist form of color blindness?,Blue,"['Red', 'Green', 'Purple']",3,Science & Nature
242,Which of the following liquids is least viscous? Assume temperature is 25&deg;C.,Acetone,"['Water', 'Mercury', 'Benzene']",3,Science & Nature
243,Which is the chemical name of H2O?,Dihydrogen Monoxide,"['Ammonium chloride', 'Anhydrous Sodium Carbonate', 'Manganese dioxide']",3,Science & Nature
244,How many legs is it biologically impossible for a centipede to have?,100,"['26', '50', '74']",3,Science & Nature
245,"What common name is given to the medial condition, tibial stress syndrome (MTSS)?",Shin Splints,"['Tennis Elbow', 'Carpal Tunnel', 'Housemaid&#039;s Knee']",3,Science & Nature
246,What is the molecular formula of Glucose?,C6H12O6,"['C2H4O2', 'K+', 'CH4']",3,Science & Nature
247,An organic compound is considered an alcohol if it has what functional group?,Hydroxyl,"['Carbonyl', 'Alkyl', 'Aldehyde']",3,Science & Nature
248,All of the following human genetic haplogroup names are shared between Y-chromosome and mitochondrial DNA haplogroups EXCEPT:,Haplogroup U,"['Haplogroup L', 'Haplogroup T', 'Haplogroup J']",3,Science & Nature
249,Which horizon in a soil profile consists of bedrock?,R,"['O', 'B', 'D']",3,Science & Nature
250,If you planted the seeds of Quercus robur what would grow?,Trees,"['Flowers', 'Vegtables', 'Grains']",3,Science & Nature
251,What is isobutylphenylpropanoic acid more commonly known as?,Ibuprofen,"['Morphine', 'Ketamine', 'Aspirin']",3,Science & Nature
252,Which of these chemical compounds is NOT found in gastric acid?,Sulfuric acid,"['Hydrochloric acid', 'Potassium chloride', 'Sodium chloride']",3,Science & Nature
253,What is the scientific name of the red fox?,Vulpes Vulpes,"['Vulpes Redus', 'Red Fox', 'Vulpes Vulpie']",3,Science & Nature
254,Which of the following is NOT a real element?,Vitrainium,"['Praseodymium', 'Hassium', 'Lutetium']",3,Science & Nature
255,Which one of these is scientific term for &quot;Brain Freeze&quot;?,Sphenopalatine Ganglioneuralgia,"['Hyacinthoides Italica', 'Amaranthus Retroflexus', 'Amblyomma Americanum']",3,Science & Nature
256,&quot;The Big Bang Theory&quot; was first theorized by a priest of what religious ideology?,Catholic,"['Christian', 'Jewish', 'Islamic']",3,Science & Nature
257,A comet&#039;s gaseous envelope (which creates the tail) is called what?,The coma,"['The wake', 'The backwash', 'The ablative']",3,Science & Nature
258,What is the molecular formula of Ozone?,O3,"['C6H2O6', 'N2O', 'SO4']",3,Science & Nature
259,The core of the Sun can reach which temperature?,27&deg; Million F (15&deg; Million C),"['938,000&deg; F (521093.3&deg; C)', '8&deg; Billion F (&deg;4.4 Billion C)', 'Absolute Zero (Both F and C)']",3,Science & Nature
260,Which of these is a stop codon in DNA?,TAA,"['ACT', 'ACA', 'GTA']",3,Science & Nature
261,"Which of the following plastic is commonly used for window frames, gutters and drain pipes?",Polyvinylchloride (PVC) ,"['Polyethylene (PE)', 'Polypropylene (PP)', 'Polystyrene (PS)']",3,Science & Nature
262,What nucleotide pairs with guanine?,Cytosine,"['Thymine', 'Adenine', 'Uracil']",3,Science & Nature
263,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob&#039;s Syndrome,"['Klinefelter&#039;s Syndrome', 'Turner&#039;s Syndrome', 'Down Syndrome']",3,Science & Nature
264,What does the term &quot;isolation&quot; refer to in microbiology?,"The separation of a strain from a natural, mixed population of living microbes","['A lack of nutrition in microenviroments', 'The nitrogen level in soil', 'Testing effects of certain microorganisms in an isolated enviroments, such as caves']",3,Science & Nature
265,How much radiation does a banana emit?,0.1 Microsievert,"['0.3 Microsievert', '0.5 Microsievert', '0.7 Microsievert']",3,Science & Nature
266,What is the unit of electrical inductance?,Henry,"['Weber', 'Coulomb', 'Mho']",3,Science & Nature
267,Burning which of these metals will produce a bright white flame?,Magnesium,"['Copper', 'Lithium', 'Lead']",3,Science & Nature
268,Muscle fiber is constructed of bundles small long organelles called what?,Myofibrils,"['Epimysium', 'Myofiaments', 'Myocardium']",3,Science & Nature
269,Which of the following is NOT a word used to describe an earthquake?,Drop-slide,"['Foreshock', 'Strike-slip', 'Temblor']",3,Science & Nature
270,What is the scientific name for the extinct hominin known as &quot;Lucy&quot;?,Australopithecus Afarensis,"['Australopithecus Africanus', 'Australopithecus Architeuthis', 'Australopithecus Antaris']",3,Science & Nature
